"Google","English","fetches","Korean","가져옵니다

명사:
    술책 (fetch, tactics, tactic, art, finesse)
    가져옴 (fetch)
    범위 (range, scope, extent, area, reach, bounds)
    생령 (people, wraith, fetch)
    팔을 쭉 뻗기 (fetch)

동사:
    가지고 오다 (fetch)
    데리고 오다 (fetch)
    불러 오다 (fetch)
    나오게 하다 (fetch)
    내쉬다 (exhale, expire, fetch)
    해내다 (accomplish, go at, drive, fetch)
    잡은 것을 물어 오다 (fetch)
    돌아서 가다 (fetch)
    의식을 회복시키다 (fetch)
    추론하다 (reason, infer, ratiocinate, fetch)
    ...값에 팔리다 (fetch)
    ...의 마음을 사로잡다 (enthrall, enthral, fetch)
    ...에게 한대 먹이다 (fetch)
    도달하다 (arrive in, reach, come to, get to, attain, touch)
    명령을 인출하다 (fetch)
    가서 물건을 가지고 오다 (fetch)
    의식을 회복하다 (come to one's senses, fetch)
    체력을 회복하다 (fetch)
    체중을 회복하다 (fetch)
    진로를 잡다 (fetch)"
"Google","English","decodes","Korean","디코딩

동사:
    풀다 (unravel, unroll, unwind, unwrap, vent, solve)"
"Google","English","and the business logic","Korean","그리고 비즈니스 논리"
"Google","English","contained","Korean","포함

동사:
    있다 (have, be, be found, exist, consist, contain)
    담고 았다 (contain)
    들어가다 (enter, go in, contain, take away, drop in)
    억누르다 (constrain, repress, hold down, withhold, conquer, crucify)
    끼다 (fold, put on, hold, smoke, become dirty, draw on)
    포함하다 (yell inspired words, include, contain, comprise, comprehend, embrace)
    견제하다 (contain)"
"Google","English","static","Korean","공전

명사:
    공전 (revolution, static, stray, atmospherics, skidding, wages)
    격렬한 반대 (static)

형용사:
    정적인 (static)
    공전의 (static)"
"Google","English","it uses static type checking to ensure that a variable's value always matches the variable's static type.","Korean","정적 유형 확인을 사용하여 변수의 값이 항상 변수의 정적 유형과 일치하는지 확인합니다."
"Google","English","required","Korean","필수의

형용사:
    필수의 (required)"
"Google","English","often optional due to type inference","Korean","종종 유형 추론으로 인해 선택 사항"
"Google","English","Dart also has built-in sound null safety","Korean","Dart에는 또한 사운드 널 안전이 내장되어 있습니다"
"Google","English","despite","Korean","~에도 불구하고

명사:
    무례 (disrespect, despite, offense, incivility, discourtesy, indecorum)

접속사:
    또는 (or, despite)

부사:
    ...에도 불구하고 (despite)"
"Google","English","explicitly","Korean","명시 적으로"
"Google","English","annotating","Korean","주석

동사:
    주석을 달다 (annotate)"
"Google","English","declared","Korean","선언

형용사:
    선언한 (declared)
    언명한 (avowed, declared)
    신고한 (declared)"
"Google","English","demonstrated","Korean","시연

동사:
    논증하다 (demonstrate, argue)
    증명하다 (prove, testify to, verify, demonstrate, attest, certify)
    설명하다 (explain, illustrate, account for, explicate, demonstrate, treat)
    실물로 선전하다 (demonstrate)
    표시하다 (express, represent, denote, display, demonstrate, record)
    시위 운동을 하다 (demonstrate)
    시위 데모를 하다 (demonstrate)
    실지 교수로 가르치다 (demonstrate)
    군사력을 과시하다 (demonstrate)"
"Google","English","The function showcases several basic Dart language features","Korean","이 기능은 몇 가지 기본 다트 언어 기능을 보여줍니다"
"Google","English","async","Korean","비동기"
"Google","English","showcases","Korean","쇼케이스

명사:
    유리 진열장 (showcase)
    유리 상자 (glass case, showcase)"
"Google","English","initialization","Korean","초기화"
"Google","English","entrypoint","Korean","EntryPoint"
"Google","English","entry","Korean","기입

명사:
    기입 (entry)
    참가자 (participant, entrant, entry, participator, intrant)
    표제어 (entry, headword)
    들어감 (entry, entrance)
    입장권 (admission ticket, entrance, entry, ingress, pass check)
    점유 (occupancy, occupation, entry)
    들어가는 길 (entry)
    수록어 (entry)"
"Google","English","Perform","Korean","공연하다

동사:
    행하다 (hold, practice, perform, bear, practise)
    이행하다 (fulfil, fulfill, perform, discharge, switch over to, implement)
    임무 따위를 이행하다 (perform)
    약속 따위를 이행하다 (perform)
    공연하다 (perform, produce, represent)
    극을 공연하다 (perform)
    연주하다 (perform, play, descant, take)
    취주하다 (play, perform)
    재주를 부리다 (perform)
    동물이 재주를 부리다 (perform)
    작동하다 (operate, tick, act, behave, perform)
    기계가 작동하다 (perform)"
"Google","English","A graph G = (V, E) is a data structure where V is a finite set of vertices and E is a binary relation on V represented by a set of edges. Fig. 1 illustrates an example of a graph (or graphs).","Korean","그래프 g = (v, e)는 V가 유한 한 정점 세트이고 E는 가장자리 세트로 표시되는 v의 이진 관계 인 데이터 구조입니다. 그림 1은 그래프 (또는 그래프)의 예를 보여줍니다."
"Google","English","A free tree is a connnected, acyclic, undirected graph. A rooted tree is a free tree in which one of the vertices is distinguished from the others. A vertex of a rooted tree is called ""node.""","Korean","프리 트리는 핵심적인, acyclic, 거부되지 않은 그래프입니다. 뿌리 나무는 정점 중 하나가 다른 사람과 구별되는 자유 나무입니다. 뿌리 나무의 정점을 ""노드""라고합니다."
"Google","English","c
New chat
Q Search chats
Library
Cadex
Sora
GPTs
A1 Video Maker 8'
New project
Chats
Set a -n
OLED vs LCD
Baekiaan Online Jud X
4 10
1223
20
43
50
60
72
x
O
Set
=gpt-4-5
01 XIAI
x
iudqe.u-aizu.ac.ip/or
x
File
Edit
Selection
View
Go
ALDS1_7_3.py - Study_codes - Cursor
chatgpt.com/c/6850b6dd-7230-800b-8259
ChatGPT
4.5 v
-26991 d9464d2?modeI
01
solved.ac
01
2025_06 > Algorithm > AizuOnIineGudge > ALDS1_7_B.py
1
8 (child,
depth+l )
(sibling, same depth as 8)
O (sibling, same depth as
B)
I— E (child,
depth+l )
D Copy
D Copy
Google
•O Edit
•O Edit
mathematica
c
01
711+21 7111k
• +71
LangServe Ollama Vector DS ..
C + + at:an
FastAPl Flutter
I—hCHl
View plans
Unlimited access: team features,
and more
2.
21
Ask anything
+ o- Tools
74 A H
71121
OldhRHOl 77Æ.1-=
ChatGPT can make mistakes. Check important info.
-€4
9
Share
2025-06-17
v STUDY CODES
v 2025 06
v Algorithm
AizuOnIineGudge
C++ ALDSI
_1_D.cpp
C++ ALDS1_2_D.cpp
C+ ALDSI
_3_A.cpp
[5 ALDSI 3 D
C+ ALDS1_3_D.cpp
C+ ALDSI
C+ AL DS 1
_4_B.cpp
C++ ALDSI
_4_C.cpp
C++ AL DS 1
_4_D.cpp
C+ ALDSI
_5_A.cpp
AL DS 1
_5_a.py
C+ ALDSI
_5_C.cpp
Ü ALDSI
5 C.exe
AL DS 1
_6_A.py
AL DS 1
_6_C.py
ALDSI
_7_Apy
ALDSI
_7_a.py
C+ QQ.cpp
BaekJoan
2960.py
C+ multibus_18868.cpp
C+ Sort_2750.cpp
[5 B 2750
cursor_module.py
Get_out_bax.py
multibus_18868.exe
[5 Red_Black_Tree
Red_BIack_Tree.exe
[5 sample
++ sample.cpp
> OUTLINE
> TIMELINE
v VS CODE POKÉMON
x
x
Problems
Output Debug Console
main [X!?] via
Study_codes on
Terminal Ports
v3.12.3 took 8s
1
v VS CODE PETS
main* O
@ ) & C:/Users/user/anaconda3/python .exe c:/Users/user/De
. py
13
1
5
@oA1
Ctrl+K to generate e command
W 0 Debug C/C++ (macOS) (Study_codes) Python 3.12.3 ('base.
pwsh
Python
Python
Python Debug C...
Ø Prettier
1:33
2025-06-17","Korean","기음
새로운 채팅
Q 검색 채팅
도서관
Cadex
소라
GPT
A1 비디오 메이커 8 '
새로운 프로젝트
채팅
-N을 설정하십시오
OLED 대 LCD
Baekiaan Online Jud x
4 10
1223
20
43
50
60
72
엑스
영형
세트
= GPT-4-5
01 Xiai
엑스
iudqe.u-aizu.ac.ip/또는
엑스
파일
편집하다
선택
보다
가다
alds1_7_3.py- 연구 _codes- 커서
chatgpt.com/c/6850B6DD-7230-800B-8259
chatgpt
4.5 v
-26991 D9464D2? modi
01
해결되었습니다
01
2025_06> 알고리즘> aizuoniinegudge> alds1_7_b.py
1
8 (어린이,
깊이+l)
(형제, 8과 같은 깊이)
O (형제, 같은 깊이
비)
나는 - E (어린이,
깊이+l)
D 사본
D 사본
Google
• O 편집
• O 편집
수학
기음
01
711+21 7111K
• +71
Langserve Ollama Vector DS ..
c + + at : an
Fastapl Flutter
나는 - hchl
계획을 봅니다
무제한 액세스 : 팀 기능,
그리고 더
2.
21
무엇이든 물어보세요
+ O- 도구
74 A h
71121
Oldhrhol 77æ.1- =
Chatgpt는 실수를 할 수 있습니다. 중요한 정보를 확인하십시오.
-€ 4
9
공유하다
2025-06-17
v 연구 코드
v 2025 06
v 알고리즘
Aizuoniinegudge
C ++ aldsi
_1_D.CPP
C ++ ALDS1_2_D.CPP
C+ aldsi
_3_A.CPP
[5 Aldsi 3 d
C+ ALDS1_3_D.CPP
C+ aldsi
C+ al ds 1
_4_B.CPP
C ++ aldsi
_4_C.CPP
C ++ al ds 1
_4_D.CPP
C+ aldsi
_5_A.CPP
al ds 1
_5_A.PY
C+ aldsi
_5_C.CPP
ü aldsi
5 C.exe
al ds 1
_6_A.PY
al ds 1
_6_C.PY
aldsi
_7_APY
aldsi
_7_A.PY
C+ QQ.CPP
백조안
2960.py
C+ Multibus_18868.cpp
c+ sort_2750.cpp
[5 B 2750
cursor_module.py
get_out_bax.py
multibus_18868.exe
[5 red_black_tree
red_biack_tree.exe
[5 샘플
++ 샘플 .cpp
> 개요
> 타임 라인
V 대 코드 포켓몬
엑스
엑스
문제
출력 디버그 콘솔
메인 [x!?]을 통해
연구 _codes on
터미널 포트
v3.12.3은 8 초를 차지했습니다
1
V 대 코드 애완 동물
메인* o
@) & c :/user/user/anaconda3/python .exe c :/user/user/de
. 파이
13
1
5
@oa1
ctrl+k를 생성하려면 e 명령을 생성합니다
W 0 디버그 C/C ++ (MACOS) (Study_Codes) Python 3.12.3 ( 'Base.
PWSH
파이썬
파이썬
파이썬 디버그 c ...
Ø 더 예쁘다
1:33
2025-06-17"
"Google","English","algebra","Korean","대수학

명사:
    대수학 (algebra)
    대수 교과서 (algebra)
    대수 논문 (algebra)"
"Google","English","preserved","Korean","보존

형용사:
    보호한 (preserved)"
"Google","English","session","Korean","세션

명사:
    세션 (session)
    회의 (conference, session, synod, Soviet, scepticism)
    회기 (session, anniversary of death, date of return)
    학기 (term, session)
    기간 (period, term, span, session, tract)
    활동 (activity, action, session, stir)
    법원 (courthouse, session)
    개회중임 (session)
    개정중임 (session)"
"Google","English","instant-gratification","Korean","즉각적인 인식"
"Google","Indonesian","muggy-smalt-axolotl-pembus","Korean","muggy-smalt-axolotl-pemembus"
"Google","English","resource","Korean","의지

명사:
    의지 (will, intention, resort, intent, volition, resource)
    만일의 경우의 의지 (resource)"
"Google","English","participants","Korean","참가자들

명사:
    참가자 (participant, entrant, entry, participator, intrant)"
"Google","English","introduced","Korean","소개

동사:
    끼워 넣다 (insert, sandwich, telescope, implant, inlet, introduce)
    도입하다 (introduce)
    소개하다 (introduce, present, evacuate)"
"Google","English","controversial","Korean","논란이 많은

형용사:
    논쟁의 (polemic, controversial)
    논쟁을 좋아하는 (controversial, litigious)"
"Google","English","decision","Korean","결정

명사:
    결정 (decision, crystal, action, conclusion, settling)
    판결 (judgment, decision, sentence, adjudication, holding, judgement)
    결단력 (decision, resolve)
    판정승 (decision)
    단 (stage, column, section, dan, sheaf, decision)
    요정 (fairy, genie, restaurant, sprite, fay, decision)
    ...하려는 결심 (decision)"
"Google","English","infancy","Korean","초기

명사:
    초기 (beginning, the early days, infancy, prime, incunabula, morning)
    초창기 (infancy, youth)
    유소 (infancy)
    미성년 (minority, nonage, infancy)"
"Google","English","We thought it was important to make Kaggle more than a place where competitions are solved behind closed digital doors.","Korean","우리는 닫힌 디지털 문 뒤에서 경쟁이 해결되는 곳보다 Kaggle을 더 많이 만드는 것이 중요하다고 생각했습니다."
"Google","English","essentially a blinking cursor in a docker container","Korean","기본적으로 도커 컨테이너의 깜박이는 커서"
"Google","English","teenage","Korean","십대

형용사:
    열대의 (tropical, teen, teenage)"
"Google","English","interface","Korean","인터페이스"
"Google","English","iterated","Korean","반복"
"Google","English","several","Korean","여러 개의

대명사:
    수개 (several)

형용사:
    몇몇의 (several)
    따로따로의 (several)
    여러 가지의 (multifarious, varied, variant, several)
    단독의 (solo, sole, several)"
"Google","English","holdout","Korean","홀드 아웃

동사:
    내밀다 (hold out, reach, shoot, throw, pop out)
    가까이 못오게 하다 (hold off, hold out)
    지탱하다 (keep up, bear up, hold out, buoy, last, carry)
    누이다 (hold out, lay down, get washed in limewater, couch)"
"Google","English","particular","Korean","특정한

형용사:
    특별한 (special, particular, exceptional, extra, especial)
    각별한 (particular, extra special)
    상세한 (detailed, intimate, particular, circumstantial, minute)
    꼼꼼한 (scrupulous, prim, careful, sedulous, exact, particular)
    개개의 (individual, particular)
    특칭적인 (particular)

명사:
    상세 (particular, particulars, particularity, ancient times)
    특칭 (particular)
    특색 (feature, coloration, colouration, particular, hue, stripe)
    건 (key, case, tendon, sinew, head cover made of cloth, particular)
    ...의 건 (particular)"
"Google","English","in particular deploying them when we would have otherwise substituted a two-stage competition","Korean","특히 2 단계 경쟁을 대체했을 때 특히 배포"
"Google","English","otherwise","Korean","그렇지 않으면

형용사:
    그렇지 않으면 (otherwise)
    다른 방법의 (otherwise)
    기타의 점의 (otherwise)

부사:
    그렇지 않는 (otherwise)
    다른 방법으로 (otherwise)
    기타의 점에서 (otherwise)"
"Google","English","substituted","Korean","대체

동사:
    바꾸다 (change, shift, switch, alter, transform, replace)
    역할을 대신하다 (substitute)"
"Google","English","deploying","Korean","배포

동사:
    전개하다 (develop, evolve, deploy)
    전개시키다 (deploy, spread)"
"Google","English","However","Korean","하지만

부사:
    하나 (once, however)

접속사:
    도대체 어떻게 해서 ...이냐 (however)"
"Google","English","asynchronous","Korean","비동기

형용사:
    비동시성의 (asynchronous)"
"Google","English","imperfect","Korean","불완전한

형용사:
    불완전한 (incomplete, imperfect, faulty, lame, half-baked)
    미완료의 (imperfect)

명사:
    미완료 시제 (imperfect)

동사:
    불완전하다 (imperfect, halt)"
"Google","English","concluded","Korean","결론

동사:
    끝내다 (finish, terminate, close, conclude, break up, put an end)
    끝나다 (end, finish, terminate, close, conclude, expire)
    결론을 내리다 (conclude)
    결정하다 (decide, conclude, settle, fix, crystallize, negotiate)
    결의하다 (resolve, decide, purpose, conclude)
    결심하다 (determine, resolve, make up one's mind, decide, conclude)
    말을 맺다 (conclude)
    매듭짓다 (knot, conclude)"
"Google","English","heartbreak","Korean","비탄

명사:
    비탄 (heartbreak, mourning, lamentation, lament, wail, teen)
    단장 (heartbreak, toilet, walking stick, literary fragment, commandant, low fence)"
"Google","English","leaving them with no way to correct tiny errors that spoil months of hard work.","Korean","몇 달의 노력을 망치는 작은 오류를 수정할 수있는 방법이 없습니다."
"Google","English","leaving","Korean","퇴거

명사:
    퇴거 (retirement, leaving, recession)"
"Google","English","spoil","Korean","약탈

명사:
    약탈 (plunder, pillage, spoil, sack, sacking, rape)
    관직 (government office, spoil)
    목적물 (prize, game, spoil, prise)
    미끼 (bait, spoil)
    발견물 (find, finding, spoil)
    발굴에 따라 버리는 흙 (spoil)

동사:
    망치다 (spoil, destroy, gum up, unmake, screw up, crab)
    잡치다 (spoil, murder)
    버리다 (forsake, dump, desert, cast away, abandon, spoil)
    깨다 (break, awake, spoil, become sober, chip)
    물다 (bite, pay, snap, spoil, tooth)
    성격을 버리다 (spoil)
    성질을 버리다 (spoil)
    응석받다 (indulge, spoil)
    대대적으로 서비스하다 (spoil)
    만족하지 못하게 하다 (spoil)
    냑탈하다 (spoil)
    나빠지다 (go bad, deteriorate, go off, bastardize, spoil, fell)
    ...하기를 갈망하다 (spoil)"
"Google","English","substantial","Korean","상당한

형용사:
    실질적인 (substantial)
    중요한 (significant, substantial, fundamental, considerable, grand, weighty)
    본질적인 (essential, substantial, organic)
    실질의 (substantial)
    자산이 있는 (substantial)"
"Google","English","tweak","Korean","비틀기

명사:
    비틀기 (tweak, wrench, contortion, wrest)
    동요 (shake, agitation, sway, commotion, wobble, tweak)
    잡아당기기 (tweak)
    시스템의 소수 변경 (tweak)

동사:
    비틀다 (screw, gnarl, slew round, tweak, wrench, wrest)
    정신장애를 일으키다 (tweak)
    정신 선경경련을 일으키다 (tweak)"
"Google","English","withheld","Korean","보류

동사:
    억누르다 (constrain, repress, hold down, withhold, conquer, crucify)
    보류하다 (reserve, withhold, shelve, waive)
    임금에서 공제하다 (withhold)
    그만두다 (stop, quit, cease, discontinue, give up, abandon)"
"Google","English","proper","Korean","적절한

형용사:
    적절한 (proper, right, pertinent, apt, relative, apposite)
    적당한 (suitable, appropriate, proper, right, modest, fit)
    타당한 (proper, advisable)
    지당한 (proper)
    예절 바른 (decent, proper, well-bred)
    독특한 (peculiar, special, exclusive, individual, proper)
    완전한 (complete, full, perfect, entire, integral, proper)
    엄격한 의미에서의 (proper)
    자기의 (personal, self-registering, porcellaneous, autobiographic, proper)

부사:
    완전히 (completely, all, thoroughly, utterly, wholly, proper)"
"Google","English","rigorous","Korean","엄밀한

형용사:
    엄밀한 (strict, rigorous)
    혹독한 (rigorous)
    규칙 등이 혹독한 (rigorous)
    기후 등이 혹독한 (rigorous)
    사람 등이 혹독한 (rigorous)"
"Google","English","offer","Korean","권하다

명사:
    제공 (offer, production)
    결혼 신청 (offer)
    기도 (prayer, airway, attempt, devotions, invocation, offer)
    팔 상품의 제공 (offer)
    신청가격 (offer)

동사:
    팔려고 내놓다 (put up, offer)
    권하다 (offer, recommend, advise, commend)
    바치다 (devote, give, offer, dedicate, be mad about, consecrate)
    나타나다 (appear, come out, show up, emerge, manifest, offer)
    제공하다 (offer, cater for, put up, afford, give)
    제시하다 (exhibit, offer, set up)
    ...하려고 하다 (do one's best, essay, think, offer)
    어떤 값으로 물품을 팔려고 내놓다 (offer)
    제의하다 (offer, move, set forward, vote)
    구혼하다 (propose, offer, spark)
    제물을 바치다 (offer)
    헌정하다 (offer, dedicate)"
"Google","English","varieties","Korean","품종

명사:
    종류 (kind, sort, class, category, species, variety)
    변화 (change, variation, shift, transition, alteration, variety)
    모은 것 (variety, budget)
    버라이어티 연예 (variety)"
"Google","English","intend","Korean","의도하다

동사:
    작정이다 (intend)
    생각하다 (guess, think, intend, ponder, imagine, suppose)
    의도하다 (intend, purpose, calculate)
    충당하려고 하다 (intend)
    의미하다 (mean, signify, infer, intend, entail)"
"Google","English","fewer","Korean","보다 적은"
"Google","English","confusing","Korean","혼란 스럽습니다

동사:
    휘두르다 (wield, brandish, flourish, confuse, make a puppet of, swish)
    혼란하다 (be deranged, confuse, make a balls-up)
    혼동하다 (confuse, confound, mix up)
    어리둥절하게 하다 (embarrass, flummox, maze, confuse, befuddle, befog)"
"Google","English","be able to","Korean","할 수 있습니다"
"Google","English","leeway","Korean","여지

명사:
    여지 (space, leeway, litchi, lychee, elbowroom)
    풍압 (wind pressure, leeway, wind loading)
    손실 (loss, leeway, losings)
    시간의 손실 (leeway)
    공간 따위의 여지 (leeway)
    시간 따위의 여지 (leeway)
    금전 따위의 여지 (leeway)"
"Google","English","to intervene if it fails.","Korean","실패하면 개입합니다."
"Google","English","familiar","Korean","친숙한

형용사:
    익숙한 (familiar, accustomed, used, wonted)
    잘 알고 있는 (familiar, knowing, well-informed)
    친한 (friendly, familiar, old, pally, hail-fellow, well-known)
    격의 없이 대할 수 있는 (familiar)
    길들인 (tame, familiar)
    거리낌없이 대할 수 있는 (familiar)
    정도 이상으로 친하게 구는 (familiar)
    관계가 있는 (relational, connected, familiar)"
"Google","English","available in a traditional competition.","Korean","전통적인 경쟁에서 사용할 수 있습니다."
"Google","English","We will run all submissions against the private data, not just selected ones. Participants will get the complete and familiar public/private scores available in a traditional competition.","Korean","선택한 데이터뿐만 아니라 개인 데이터에 대한 모든 제출물을 실행합니다. 참가자는 전통적인 경쟁에서 완전하고 친숙한 공개/개인 점수를 얻을 수 있습니다."
"Google","English","against","Korean","~에 맞서

전치사:
    ...에 반대하여 (against, contra)
    ...에 거슬러서 (against)
    ...에 불리하게 (against)
    ...에 부딪쳐서 (against)
    ...에 기대에서 (against)
    ...에 기대어 세우고 (against)
    ...을 배경으로 하여 (against)
    ...에 대비하여 (against)
    ...와 교환으로 (against, for)"
"Google","English","released","Korean","출시된

동사:
    터놓다 (release, unlock)
    풀어놓다 (release)
    놓아주다 (let out, release, whistle down the wind)
    석방하다 (release, enfranchise, enlarge, manumit, turn up)
    방면하다 (release, absolve)
    개봉하다 (unseal, release)
    영화를 개봉하다 (release)
    포기하다 (abandon, renounce, waive, back down, cast off, put away)
    기권하다 (abstain, renounce, relinquish, sequester, release)"
"Google","English","leaderboard","Korean","리더 보드"
"Google","English","low-stakes","Korean","낮은 스테이크"
"Google","English","stakes","Korean","스테이크

명사:
    말뚝 (pile, piles, peg, stake, pale)
    이해 관계 (interest, stake)
    내기 (bet, betting, wager, stake)
    화형주 (stake)
    내기에 건 돈 (stake)

동사:
    걸다 (hang, stake, bet, hitch, pick, hang up)
    말뚝에 매다 (stake)
    말뚝으로 둘러싸다 (stake)"
"Google","English","trial","Korean","재판

명사:
    시도 (attempt, trial, crack, shy, fling, smack)
    시련 (trial, probation)
    공판 (trial)
    심 (core, padding, trial, lead, mind, wick)
    심리 (trial, mentality, inquest, cognizance)
    성가신 사람 (trial)
    성가신 것 (nuisance, trial)
    해보려는 열의 (trial)
    제품 원료의 견본 (trial)

형용사:
    시험적인 (tentative, probationary, trial)
    공판의 (trial)"
"Google","English","implementation.","Korean","구현.

명사:
    이행 (implementation, fulfillment, veering, fulfilment)"
"Google","English","This competition is a low-stakes, trial-run introduction to our new synchronous KO implementation.","Korean","이 경쟁은 새로운 동기식 KO 구현에 대한 지분이 낮은 평가판 실행 소개입니다."
"Google","English","complicated","Korean","복잡한

형용사:
    복잡한 (complex, complicated, Byzantine, knobby, involute)"
"Google","English","mechanics","Korean","역학

명사:
    역학 (dynamics, mechanics, epidemiology, science of divination)
    기능적 구조 (mechanics)
    기계적인 부분 (mechanics)"
"Google","English","While it may feel like a normal KO competition, there are complicated new mechanics in play, such as the selection logic of Kernels that are still running when the deadline passes.","Korean","일반적인 KO 경쟁처럼 느껴질 수 있지만, 마감일이 지나면 여전히 실행중인 커널의 선택 논리와 같은 복잡한 새로운 역학이 있습니다."
"Google","English","authentic","Korean","진본인

형용사:
    진정한 (authentic, unalloyed, sterling)
    믿을 만한 (authentic, believable, receivable)
    인증된 (authentic)"
"Google","English","Evaluation","Korean","평가

명사:
    평가 (evaluation, assessment, rating, valuation, estimate, account)"
"Google","English","probability","Korean","개연성

명사:
    개연성 (probability)
    있을 법한 일 (probability)
    일어날 법한 일 (probability)
    있을 법한 사건 (probability)
    일어날 법한 사건 (probability)"
"Google","English","predicted","Korean","예측"
"Google","English","observed","Korean","관찰되었습니다

동사:
    관찰하다 (observe, envisage)
    인지하다 (recognize, observe)
    관찰에 의하여 인지하다 (observe)
    준수하다 (observe, excel in talent and elegance)
    규칙 따위를 준수하다 (observe)
    진술하다 (set forth, observe, qualify, show, predicate)
    소견을 말하다 (observe)"
"Google","English","Requirements","Korean","요구 사항

명사:
    요구물 (requirement, request)"
"Google","English","unseen","Korean","보이지 않는 것

명사:
    보이지 않는 것 (unseen)

형용사:
    눈에 보이지 않는 (invisible, imperceptible, unseen, blind)
    아직 본 일이 없는 (unseen)
    즉석의 (extemporary, off-the-cuff, pickup, offhand, offhanded, unseen)"
"Google","English","In order","Korean","순서대로

부사:
    순서대로 (in order)
    정연하게 (in order)
    좋은 상태로 (in order)
    규칙에 맞도록 (in order)
    의사 규칙에 맞도록 (in order)
    적절하여 (to the point, in order)
    유행의 (in order)"
"Google","English","In order for the ""Submit to Competition"" button","Korean","""경쟁 제출""버튼을 위해"
"Google","English","either","Korean","어느 하나

대명사:
    어느 한 쪽 (either)
    어느 쪽도 (either)
    어느 쪽인가 (either)

부사:
    ...도 또한 (also, either)
    ...도 또한 ...않다 (either)
    ...이라고는 하지만 (either)
    ...은 아니다 (either)"
"Google","English","specific","Korean","특정한

형용사:
    특유한 (specific, appropriate)
    특효 있는 (specific)
    분명히 나타난 (evident, specific)
    종의 (side, specific)
    비의 (pluvial, pluvious, rainy, Viennese, specific)

명사:
    명세 (details, specific)
    특정한 것 (specific)
    특별한 것 (special, specific, extra)"
"Google","English","This is necessary","Korean","이것은 필요합니다"
"Google","English","prevent","Korean","예방하다

동사:
    막다 (obstruct, occlude, block, keep off, prevent, encumber)
    예방하다 (pay a courtesy call on, prevent)
    방지하다 (prevent, inhibit, restrain)
    회망 ...에 앞서서 처리하다 (prevent)
    의문 ...에 앞서서 처리하다 (prevent)
    ...에 앞서서 처리하다 (prevent)"
